Temperature,Humidity,Occupancy,AC_Hours,Appliance_Hours,Day_Type,Electricity_Consumption
26.24,70.45,1,2.31,7.71,Weekday,90.2
43.52,79.75,1,11.12,19.05,Weekday,199.66
36.96,38.79,3,2.27,11.99,Weekend,157.12
32.96,66.87,5,10.24,7.95,Weekend,181.57
19.68,62.88,5,0.87,19.04,Weekday,136.83
19.68,82.46,3,6.52,7.25,Weekday,137.4
16.74,87.96,4,2.84,2.8,Weekend,117.42
40.99,20.91,1,1.75,19.94,Weekday,129.33
33.03,70.55,1,9.07,6.09,Weekday,141.98
36.24,23.89,3,14.85,17.17,Weekday,212.28
15.62,61.16,3,0.88,4.15,Weekday,83.74
44.1,41.57,4,6.74,14.9,Weekday,198.42
39.97,43.01,6,11.32,10.96,Weekend,224.82
21.37,46.47,5,7.4,19.64,Weekday,161.5
20.45,66.6,2,12.9,11.5,Weekday,153.81
20.5,45.05,6,2.87,1.48,Weekend,124.86
24.13,74.95,7,15.35,12.47,Weekday,206.15
30.74,50.34,5,6.16,3.76,Weekday,144.66
27.96,25.13,1,5.47,16.17,Weekday,130.4
23.74,78.78,7,13.99,17.27,Weekday,218.36
33.36,41.43,6,9.02,10.16,Weekday,188.12
19.18,52.46,3,8.26,15.88,Weekday,141.59
23.76,71.41,4,11.63,3.76,Weekday,151.92
25.99,44.93,5,9.28,10.35,Weekday,170.73
28.68,24.24,4,2.6,8.48,Weekday,132.21
38.56,48.04,7,10.79,12.62,Weekend,215.42
20.99,90.83,5,2.14,1.85,Weekday,109.01
30.43,68.13,6,12.89,15.29,Weekday,214.57
32.77,70.36,1,15.84,2.5,Weekend,173.6
16.39,67.42,2,6.04,13.47,Weekday,116.78
33.23,34.92,4,7.12,1.35,Weekday,150.56
20.12,51.38,4,0.74,16.81,Weekday,122.76
16.95,76.32,2,0.22,4.32,Weekend,79.07
43.47,27.6,4,14.74,10.79,Weekday,224.06
43.97,40.84,4,2.06,5.97,Weekday,155.92
39.25,40.72,5,7.13,14.73,Weekday,181.55
24.14,52.4,5,13.05,7.11,Weekday,182.04
17.93,93.53,2,14.23,14.77,Weekend,172.61
35.53,25.06,7,8.31,6.41,Weekday,185.11
28.2,58.9,1,9.04,15.3,Weekday,164.99
18.66,33.45,6,10.71,1.58,Weekend,138.65
29.86,92.8,6,15.38,6.38,Weekday,208.54
16.03,28.5,7,9.64,10.47,Weekday,155.71
42.28,50.27,4,8.95,1.86,Weekday,169.67
22.76,75.34,1,0.23,4.53,Weekend,91.39
34.88,72.84,2,1.3,18.76,Weekend,152.01
24.35,51.7,7,9.23,19.56,Weekend,191.48
30.6,45.99,2,14.98,15.06,Weekday,175.56
31.4,49.82,5,13.87,5.79,Weekday,179.54
20.55,39.82,4,15.72,5.95,Weekday,169.24
44.09,35.4,3,8.45,13.27,Weekend,175.01
38.25,56.23,2,12.61,3.23,Weekday,158.26
43.18,40.14,7,13.45,19.02,Weekday,239.05
41.84,41.56,4,10.37,5.27,Weekend,185.77
32.94,69.26,1,5.42,19.99,Weekday,165.49
42.66,92.64,7,7.52,10.42,Weekday,218.57
17.65,65.27,5,13.73,15.66,Weekend,208.52
20.88,25.77,6,4.78,1.04,Weekday,118.33
