Temperature,Humidity,Occupancy,AC_Hours,Appliance_Hours,Day_Type
21.34,55.11,1,7.53,19.39,0
30.98,65.86,6,14.2,13.98,0
44.19,38.12,2,10.37,7.15,1
19.05,58.08,6,0.95,8.46,0
21.64,22.6,7,9.97,4.67,0
37.11,37.93,1,7.48,7.44,0
21.88,81.57,2,14.38,19.4,0
24.19,29.03,1,9.62,11.96,0
36.87,67.8,1,1.06,2.02,0
23.92,31.38,4,1.26,4.93,0
28.11,57.72,2,4.05,4.78,0
43.87,33.45,3,13.89,7.18,1
26.06,70.64,5,5.54,15.01,1
30.38,89.66,2,2.49,14.34,0
40.8,91.59,4,13.37,14.75,0
20.45,68.6,2,12.23,5.22,1
21.96,90.09,4,10.08,14.34,0
28.38,60.6,2,10.45,4.36,0
34.56,33.44,4,10.06,16.3,0
39.97,43.01,6,11.32,10.96,1
38.59,80.38,5,13.55,9.87,1
17.74,77.17,1,11.06,13.55,0
33.19,60.82,1,4.99,11.27,0
40.23,37.52,4,9.15,18.42,0
36.08,23.68,6,5.08,3.5,0
27.33,63.49,3,15.35,5.95,1
22.27,23.0,1,7.84,8.68,0
19.27,29.51,4,10.0,8.71,0
31.2,90.93,6,8.21,8.48,0
36.77,24.68,4,2.69,6.15,1
20.17,61.45,4,13.76,2.11,0
25.44,53.97,1,13.55,4.89,0
36.39,33.82,2,8.5,13.67,0
32.32,58.64,3,14.54,7.77,0
34.32,46.22,1,2.51,12.24,0
44.62,25.33,6,1.78,11.61,0
22.79,88.69,3,1.08,7.09,0
33.66,94.21,1,14.36,12.64,1
24.09,68.26,5,14.9,14.86,0
20.59,26.12,4,0.58,9.25,0
19.42,75.62,3,5.75,9.27,1
43.34,45.06,5,3.5,16.26,0
44.63,71.87,4,0.42,4.91,1
23.14,46.65,5,14.6,15.2,1
23.66,20.85,3,14.47,2.53,0
42.46,42.3,3,15.64,18.18,0
24.13,36.54,1,0.38,17.6,0
43.21,81.64,6,5.3,9.43,0
26.77,69.64,2,10.18,6.27,0
34.78,51.3,6,9.85,14.64,1
22.01,91.72,4,7.4,13.19,1
17.92,87.18,4,14.64,1.05,0
23.24,74.08,1,13.37,6.31,0
38.45,44.51,2,12.31,16.03,0
20.87,82.43,4,9.3,10.99,0
27.93,20.68,4,4.3,1.99,0
39.87,47.04,3,0.49,1.73,1
44.64,44.07,7,0.24,10.53,0
29.28,49.83,4,10.99,16.45,1
20.38,21.0,5,13.32,6.05,1
25.06,55.8,2,2.43,5.26,0
34.39,34.12,4,15.99,18.15,1
43.65,63.39,7,15.89,11.32,0
15.34,57.53,1,3.18,5.0,1
37.38,67.7,6,2.15,6.2,1
43.25,92.06,1,8.59,8.94,1
29.79,31.0,7,10.32,9.73,0
35.9,52.43,7,6.55,12.18,1
27.04,24.18,7,0.36,12.38,0
32.47,68.42,1,7.21,9.93,1
18.42,86.56,1,0.19,13.0,0
32.41,75.1,3,6.28,9.87,0
37.09,92.73,6,7.83,14.47,1
31.24,22.28,7,7.84,2.58,1
33.6,33.85,6,0.89,3.93,0
42.79,78.19,3,6.12,12.46,1
18.76,57.94,3,6.81,9.43,1
43.38,25.26,4,12.87,10.69,1
16.56,75.28,5,1.7,3.76,0
21.18,25.76,5,11.51,5.3,0
15.35,65.24,6,8.37,19.6,0
24.94,23.76,2,14.63,16.43,1
16.08,21.5,7,3.6,13.42,0
22.79,59.89,4,6.39,13.25,0
21.86,31.02,1,2.08,16.75,0
38.8,43.66,7,10.38,8.87,0
27.91,69.36,7,10.85,13.9,1
37.12,84.31,3,2.56,8.29,0
24.74,94.41,5,10.74,8.37,0
17.36,80.23,1,8.95,3.02,1
15.7,43.21,5,13.24,7.71,0
43.72,26.11,4,5.38,7.43,0
36.82,81.98,5,4.73,1.33,0
22.7,52.23,5,0.24,18.78,0
19.55,54.8,5,10.66,17.83,1
18.73,57.55,3,9.74,12.58,0
18.33,35.36,2,5.92,7.19,1
19.8,34.42,2,10.0,13.88,0
27.09,92.11,6,1.51,15.02,0
17.64,85.39,1,4.01,13.92,0
36.03,49.19,7,10.76,4.08,0
44.9,83.29,4,1.11,3.92,0
15.73,91.99,3,11.09,4.56,0
25.86,39.32,4,9.74,14.44,1
17.31,66.0,6,13.68,13.45,0
43.52,55.37,2,1.27,15.79,0
31.07,57.7,5,6.22,19.28,0
23.6,87.63,3,1.63,5.22,0
40.53,65.42,6,9.67,2.76,0
28.48,72.61,5,4.02,6.95,0
32.16,56.2,4,5.21,5.23,0
16.0,45.91,3,13.63,2.61,0
21.97,20.52,5,11.89,3.71,1
35.5,63.92,7,13.43,7.04,0
26.64,44.06,6,7.78,14.5,0
17.2,60.6,5,12.79,17.14,0
35.6,42.74,3,10.28,13.52,1
38.98,26.26,1,14.5,8.26,0
33.97,71.29,1,15.89,10.97,0
41.02,78.49,1,11.58,19.78,0
19.53,66.02,4,1.01,10.84,1
15.33,94.57,1,15.84,17.55,1
25.22,38.3,2,10.7,11.77,0
34.48,31.72,6,3.17,6.32,0
39.44,78.76,1,13.96,10.69,0
15.9,41.05,2,2.97,9.04,0
37.85,24.8,5,5.26,19.82,0
41.3,61.55,7,6.83,10.1,0
19.26,57.37,6,2.06,6.17,0
26.94,48.48,4,11.94,19.82,0
31.92,44.0,4,8.34,10.19,0
30.18,34.75,1,7.28,11.14,0
34.36,66.22,2,12.56,1.62,1
40.45,69.98,5,4.87,18.79,0
34.49,45.6,4,3.5,4.05,0
41.82,35.81,2,2.58,8.7,0
15.94,26.95,7,9.39,13.07,1
35.88,69.63,7,9.77,4.63,0
44.13,81.95,5,6.82,18.65,0
32.35,70.57,4,0.33,2.23,0
41.3,52.54,6,6.71,2.35,0
37.28,64.1,4,9.3,11.92,0
44.7,58.09,3,6.57,17.79,0
33.54,63.38,7,8.56,1.03,0
26.94,79.73,3,6.11,7.61,0
25.48,57.92,4,10.71,9.24,0
24.46,82.06,3,4.74,10.81,1
37.63,30.82,1,11.36,12.37,0
41.6,28.94,6,14.2,16.03,1
19.13,71.39,6,7.73,11.1,1
39.5,33.11,3,11.48,6.03,1
29.75,86.68,1,5.73,9.54,0
25.5,22.09,7,4.71,16.51,0
22.7,41.25,6,4.2,6.69,0
42.19,50.18,4,10.22,6.31,1
23.72,48.71,6,9.97,9.85,0
33.17,23.77,3,8.0,14.45,0
33.88,31.53,6,12.12,11.81,0
20.62,71.23,1,13.42,7.58,0
23.12,33.63,4,12.42,7.37,0
32.12,80.31,4,2.11,6.26,0
36.43,79.26,2,1.12,2.37,1
38.17,62.26,2,5.12,12.28,0
43.9,70.02,6,11.63,11.83,0
15.53,69.24,5,3.28,14.58,0
37.43,76.78,1,13.49,9.93,0
43.92,48.97,1,3.21,8.16,0
37.83,83.03,1,12.24,17.23,1
21.97,72.25,1,7.29,8.13,1
21.21,22.95,4,5.9,12.73,1
19.47,61.0,1,9.0,2.83,0
19.6,36.1,2,12.59,3.08,1
39.11,43.85,7,2.48,5.05,0
35.78,33.57,4,14.93,18.98,1
44.0,50.9,2,15.71,18.04,1
28.57,36.59,5,5.37,6.73,0
34.66,79.41,4,5.64,2.86,1
41.96,27.85,2,11.74,8.37,1
28.88,20.05,2,2.0,10.69,1
16.36,35.17,2,6.35,14.69,0
36.06,45.02,4,8.96,12.33,0
34.12,41.85,1,7.44,10.72,0
22.63,94.11,4,2.36,3.95,0
18.83,35.33,6,7.62,11.98,1
38.84,37.53,5,5.71,12.28,0
32.42,90.03,1,2.67,15.46,1
26.32,23.66,5,6.44,5.71,0
22.26,89.64,6,1.24,5.46,0
34.08,74.99,6,3.89,15.69,0
34.51,68.66,1,0.49,11.84,0
16.57,73.94,6,6.33,2.59,1
32.85,48.1,1,12.65,6.43,0
43.42,68.71,5,7.68,12.01,0
23.31,83.38,2,2.03,18.55,0
24.81,70.19,6,13.31,18.22,0
22.64,38.09,5,13.31,12.8,0
29.31,77.58,5,10.36,14.8,0
37.83,50.92,7,12.56,1.86,0
40.96,71.33,6,5.07,1.02,1
39.25,90.72,5,0.86,11.32,0
35.15,56.34,5,14.42,7.42,0
37.62,91.08,6,9.26,8.61,0
43.73,71.77,2,11.12,4.8,0
30.55,21.36,7,4.33,14.38,1
22.46,25.79,6,3.82,14.43,0
41.21,60.37,1,14.4,10.63,0
44.04,90.11,4,15.42,19.14,1
19.89,58.03,5,3.35,5.26,0
27.83,63.15,2,15.43,17.08,0
15.15,52.94,3,5.06,10.14,0
17.45,79.83,6,14.46,2.3,0
38.27,22.73,5,4.88,12.26,0
26.88,22.99,6,14.04,19.92,1
26.39,39.6,3,10.1,17.38,0
17.28,21.22,2,8.41,7.94,1
24.95,35.32,1,5.36,13.98,0
44.55,56.26,2,7.81,10.33,0
20.88,25.77,6,4.78,1.04,0
19.46,74.53,3,3.92,15.11,0
40.17,54.34,2,8.48,5.8,0
28.41,79.85,6,0.29,11.91,0
21.39,81.68,6,0.54,1.84,0
36.43,85.95,7,11.69,7.06,0
33.93,36.68,4,14.47,19.03,1
41.79,54.8,5,10.1,8.37,0
18.64,24.1,5,11.14,8.14,0
